Location,Year,Value,rural pop,urban pop,electric_rural,electric_urban
NOR,2007,136636.0,21.766,78.23400000000001,29740.191759999998,106895.80824
NOR,2008,141497.0,21.474,78.526,30385.06578,111111.93422
NOR,2009,131165.0,21.185,78.815,27787.305249999998,103377.69475
NOR,2010,123071.0,20.898,79.102,25719.37758,97351.62242
NOR,2011,127062.0,20.545,79.455,26104.8879,100957.1121
NOR,2012,147156.0,20.126,79.874,29616.616560000002,117539.38344
NOR,2013,133355.0,19.714,80.286,26289.604699999996,107065.3953
NOR,2014,141620.0,19.308,80.69200000000001,27343.9896,114276.01040000001
NOR,2015,105209.8117405583,18.909,81.09100000000001,19894.123302022166,85315.68843853615
POL,1960,180212.25889755905,52.108,47.892,93905.00386634006,86307.25503121899
POL,1961,180212.25889755905,51.473,48.527,92760.65602234057,87451.60287521848
POL,1962,180212.25889755905,51.074,48.926,92041.6091093393,88170.64978821974
POL,1963,180212.25889755905,50.674,49.326,91320.76007374907,88891.49882380998
POL,1964,180212.25889755905,50.273,49.727,90598.10891556986,89614.14998198919
POL,1965,180212.25889755905,49.874,50.126,89879.06200256861,90333.19689499044
POL,1966,180212.25889755905,49.474,50.526,89158.21296697836,91054.04593058069
POL,1967,180212.25889755905,49.074,50.926,88437.36393138811,91774.89496617093
POL,1968,180212.25889755905,48.674,51.326,87716.5148957979,92495.74400176117
POL,1969,180212.25889755905,48.274,51.726,86995.66586020765,93216.59303735138
POL,1970,180212.25889755905,47.875,52.125,86276.6189472064,93935.63995035265
POL,1971,180212.25889755905,47.332,52.668,85298.06638139265,94914.19251616641
POL,1972,180212.25889755905,46.676,53.324,84115.87396302466,96096.38493453438
POL,1973,180212.25889755905,46.023,53.977,82939.08791242361,97273.17098513544
POL,1974,180212.25889755905,45.371,54.629,81764.10398441151,98448.15491314752
POL,1975,180212.25889755905,44.72,55.28,80590.9221789884,99621.33671857063
POL,1976,180212.25889755905,44.071,55.929,79421.34461874324,100790.9142788158
POL,1977,180212.25889755905,43.425,56.575,78257.17342626501,101955.08547129402
POL,1978,180212.25889755905,42.78,57.22,77094.80435637577,103117.4545411833
POL,1979,180212.25889755905,42.288,57.712,76208.16004259976,104004.09885495929
POL,1980,180212.25889755905,41.914,58.086,75534.1661943229,104678.09270323614
POL,1981,180212.25889755905,41.541,58.459,74861.97446863499,105350.28442892406
POL,1982,180212.25889755905,41.169,58.831,74191.58486553608,106020.67403202296
POL,1983,180212.25889755905,40.798,59.202,73522.99738502614,106689.2615125329
POL,1984,180212.25889755905,40.427,59.573,72854.4099045162,107357.84899304285
POL,1985,180212.25889755905,40.058,59.942,72189.4266691842,108022.83222837484
POL,1986,180212.25889755905,39.69,60.31,71526.24555644118,108686.01334111785
POL,1987,180212.25889755905,39.324,60.676,70866.66868887612,109345.59020868292
POL,1988,180212.25889755905,38.957,61.043,70205.28969872209,110006.96919883697
POL,1989,180212.25889755905,38.775,61.225,69877.30338752852,110334.95551003052
POL,1990,180212.25889755905,38.73,61.27,69796.20787102461,110416.05102653443
POL,1991,180212.25889755905,38.685,61.315,69715.11235452072,110497.14654303833
POL,1992,180212.25889755905,38.641,61.359,69635.81896060579,110576.43993695325
POL,1993,180212.25889755905,38.596,61.404,69554.72344410188,110657.53545345717
POL,1994,180212.25889755905,38.551,61.449,69473.62792759799,110738.63096996106
POL,1995,180212.25889755905,38.507,61.493,69394.33453368305,110817.92436387598
POL,1996,180212.25889755905,38.462,61.538,69313.23901717916,110899.01988037987
POL,1997,180212.25889755905,38.417,61.583,69232.14350067526,110980.11539688379
POL,1998,180212.25889755905,38.373,61.627,69152.85010676032,111059.40879079871
POL,1999,180212.25889755905,38.328,61.672,69071.75459025643,111140.5043073026
POL,2000,180212.25889755905,38.284,61.716,68992.46119634151,111219.79770121755
POL,2001,180212.25889755905,38.239,61.761,68911.36567983759,111300.89321772144
POL,2002,180212.25889755905,38.213,61.787,68864.51049252425,111347.74840503481
POL,2003,180212.25889755905,38.324,61.676,69064.54609990053,111147.71279765852
POL,2004,180212.25889755905,38.436,61.564,69266.3838298658,110945.87506769324
POL,2005,180212.25889755905,38.548,61.452,69468.22155983107,110744.03733772798
POL,2006,180212.25889755905,38.659,61.341,69668.25716720735,110544.0017303517
POL,2007,180212.25889755905,38.771,61.229,69870.09489717262,110342.16400038643
POL,2008,180212.25889755905,38.884,61.116,70073.73474972686,110138.5241478322
POL,2009,180212.25889755905,38.996,61.004,70275.57247969213,109936.68641786692
POL,2010,180212.25889755905,39.108,60.892,70477.41020965739,109734.84868790166
POL,2011,180212.25889755905,39.22,60.78,70679.24793962266,109533.01095793639
POL,2012,180212.25889755905,39.346,60.654,70906.31538583357,109305.94351172548
POL,2013,180212.25889755905,39.471,60.529,71131.58070945552,109080.67818810351
POL,2014,180212.25889755905,39.597,60.403,71358.64815566645,108853.61074189258
POL,2015,105209.8117405583,39.722,60.278,41791.441419584575,63418.37032097373
POL,1960,26518.0,52.108,47.892,13817.99944,12700.00056
POL,1961,29168.0,51.473,48.527,15013.64464,14154.355360000001
